Month,Month-Year,Total Construction,Private Construction,Public Construction
1,Jan-02,59516,45273,14243
2,Feb-02,58588,44475,14113
3,Mar-02,63782,49396,14386
4,Apr-02,69504,53283,16221
5,May-02,73384,55009,18375
6,Jun-02,77182,57801,19381
7,Jul-02,78863,58494,20369
8,Aug-02,79460,57953,21507
9,Sep-02,76542,55157,21385
10,Oct-02,75710,56023,19687
11,Nov-02,71362,53552,17810
12,Dec-02,63984,48023,15961
13,Jan-03,59877,45473,14404
14,Feb-03,58526,44620,13906
15,Mar-03,64506,49996,14510
16,Apr-03,69638,53195,16444
17,May-03,74473,56286,18187
18,Jun-03,80377,60076,20301
19,Jul-03,82971,62216,20755
20,Aug-03,85191,63234,21957
21,Sep-03,83841,61767,22075
22,Oct-03,83133,62813,20321
23,Nov-03,77915,60115,17801
24,Dec-03,71050,55584,15466
25,Jan-04,64934,50975,13959
26,Feb-04,64138,50449,13689
27,Mar-04,73238,57796,15443
28,Apr-04,78354,61177,17177
29,May-04,83736,65027,18709
30,Jun-04,89932,69039,20893
31,Jul-04,93614,72170,21444
32,Aug-04,96164,74001,22164
33,Sep-04,92538,70662,21876
34,Oct-04,90582,70856,19726
35,Nov-04,86394,67585,18809
36,Dec-04,77733,61438,16295
37,Jan-05,71474,57094,14380
38,Feb-05,72048,57531,14517
39,Mar-05,81345,65425,15920
40,Apr-05,85485,67829,17656
41,May-05,92959,72862,20097
42,Jun-05,99632,77258,22375
43,Jul-05,103158,80480,22679
44,Aug-05,106706,82629,24078
45,Sep-05,103269,79584,23685
46,Oct-05,102339,80820,21519
47,Nov-05,97549,77774,19775
48,Dec-05,88172,70692,17479
49,Jan-06,81058,65339,15719
50,Feb-06,81478,65622,15857
51,Mar-06,92855,75163,17692
52,Apr-06,95324,75780,19544
53,May-06,102495,80488,22007
54,Jun-06,107607,83196,24411
55,Jul-06,108423,83700,24723
56,Aug-06,110434,84649,25785
57,Sep-06,104191,79268,24923
58,Oct-06,101582,78199,23384
59,Nov-06,95339,73461,21878
60,Dec-06,86436,66972,19464
61,Jan-07,79406,61161,18245
62,Feb-07,79177,61437,17740
63,Mar-07,88905,69403,19503
64,Apr-07,93375,71433,21942
65,May-07,100534,75685,24849
66,Jun-07,105399,78562,26837
67,Jul-07,107090,79270,27820
68,Aug-07,110430,80737,29693
69,Sep-07,105150,76278,28871
70,Oct-07,103847,76695,27152
71,Nov-07,94822,69777,25045
72,Dec-07,84218,62840,21377
73,Jan-08,77349,58150,19199
74,Feb-08,77227,57625,19602
75,Mar-08,82779,61442,21336
76,Apr-08,87743,64051,23692
77,May-08,92781,66767,26014
78,Jun-08,96338,67515,28823
79,Jul-08,98483,68180,30303
80,Aug-08,99786,68477,31309
81,Sep-08,96755,66012,30743
82,Oct-08,95612,66730,28883
83,Nov-08,86067,59993,26073
84,Dec-08,76645,53884,22761
85,Jan-09,66944,46974,19971
86,Feb-09,66296,45548,20748
87,Mar-09,71624,48688,22936
88,Apr-09,75187,50234,24953
89,May-09,76808,50342,26466
90,Jun-09,81429,51170,30259
91,Jul-09,83379,51872,31507
92,Aug-09,84368,52917,31450
93,Sep-09,81213,50026,31188
94,Oct-09,79949,51729,28220
95,Nov-09,71906,46599,25308
96,Dec-09,64098,42209,21889
97,Jan-10,55586,36650,18936
98,Feb-10,54019,35295,18724
99,Mar-10,60228,39090,21138
100,Apr-10,66422,42486,23936
101,May-10,68906,43340,25567
102,Jun-10,74035,44831,29204
103,Jul-10,73077,43851,29226
104,Aug-10,75834,44803,31031
105,Sep-10,74764,42978,31786
106,Oct-10,73470,45539,27931
107,Nov-10,68019,42805,25215
108,Dec-10,60202,38928,21274
109,Jan-11,50955,32377,18578
110,Feb-11,50544,32069,18475
111,Mar-11,56536,36074,20461
112,Apr-11,61454,39441,22013
113,May-11,65814,42040,23775
114,Jun-11,72850,45686,27164
115,Jul-11,72113,45258,26855
116,Aug-11,77104,47807,29297
117,Sep-11,75372,46382,28990
118,Oct-11,74222,48266,25957
119,Nov-11,68809,44795,24014
120,Dec-11,62242,41414,20828
121,Jan-12,55671,37611,18059
122,Feb-12,55981,37498,18483
123,Mar-12,60796,41304,19491
124,Apr-12,66223,44964,21259
125,May-12,72240,48342,23898
126,Jun-12,77876,50900,26975
127,Jul-12,78897,51794,27104
128,Aug-12,81712,53073,28640
129,Sep-12,80812,53874,26938
130,Oct-12,81520,55888,25632
131,Nov-12,77091,53942,23148
132,Dec-12,68136,48740,19396
133,Jan-13,59143,42070,17074
134,Feb-13,58395,41224,17171
135,Mar-13,64036,45779,18257
136,Apr-13,70535,50022,20513
137,May-13,77327,54369,22959
138,Jun-13,81722,56228,25495
139,Jul-13,83104,56354,26750
140,Aug-13,85677,57481,28196
141,Sep-13,85383,58297,27086
142,Oct-13,85193,59370,25823
143,Nov-13,77931,55191,22741
144,Dec-13,71502,52132,19369
145,Jan-14,64661,47827,16834
146,Feb-14,63368,46647,16721
